imo,name,ship_type,fuel_kg_per_nm_consumption,c02_kg_per_nm_emissions
9304253,NAVIOS ASTERIKS,Bulk carrier,101.04,315.48
9304265,ROSALI,Bulk carrier,119.41,374.63
9304277,OMICRON TITINA,Bulk carrier,94.6,295.46
9304291,CHEMICAL MARKETER,Chemical tanker,75.31,236.91
9304306,NORDIC AMERICAS,Chemical tanker,89.43,279.91
9304318,SICHEM PALACE,Chemical tanker,50.91,160.38
9304332,CELSIUS MUMBAI,Chemical tanker,70.19,220.17
9304344,FAIRCHEM COLT,Chemical tanker,76.51,240.33
9304382,TAI HUNTER,Bulk carrier,83.36,261.27
9304411,MSC ESTHI,Container ship,265.25,826.97
9304423,MSC MARIA ELENA,Container ship,317.27,989.47
9304435,MSC JOANNA,Container ship,353.06,1100.54
9304461,GALA,General cargo ship,60.19,187.67
9304540,CAPE HERON,Bulk carrier,181.49,567.61
9304588,TORM RESILIENCE,Oil tanker,83.56,261.68
9304590,TORM ERIC,Chemical tanker,108.48,340.53
9304605,MINERVA SYMPHONY,Oil tanker,169.88,530.35
9304617,MINERVA DOXA,Oil tanker,172.8,539.48
9304629,RIDGEBURY NICHOLAS A,Oil tanker,171.51,535.51
9304631,ALBAYZIN,Ro-pax ship,177.16,554.65
9304801,XIN YAN TAI,Container ship,286.82,894.02
9305087,CERAFINA,Bulk carrier,114.12,356.21
9305178,PATRONA I,Chemical tanker,95.71,302.16
9305180,PATALYA,Chemical tanker,103.4,327.13
9305269,SHARDEN,Ro-pax ship,197.84,617.94
9305295,PANAGIA,General cargo ship,65.77,206.14
9305312,MAERSK MONTANA,Container ship,225.93,705.83
9305336,TANAIS,General cargo ship,36.54,114.63
9305403,CARIBE ANGELA,Chemical tanker,51.19,160.27
9305491,SEAMAX STRATFORD,Container ship,231.73,723.44
9305556,STENA ARCTICA,Oil tanker,199.18,627.62
9305568,SCF BALTICA,Oil tanker,159.34,501.18
9305570,COSCO GUANGZHOU,Container ship,283.88,884.66
9305609,PROTEAS (Oil tanker),Oil tanker,197.58,624.2
9305611,PROMITHEAS,Oil tanker,204.54,646.28
9305623,PROPONTIS,Oil tanker,189.64,598.22
9305843,COTE DES FLANDRES,Ro-pax ship,220.21,685.87
9305855,MINERVA GRACE,Oil tanker,119.31,372.71
9305867,MINERVA RITA,Oil tanker,105.56,330.63
9305893,VENTO DI ZEFIRO,Container ship,95.53,298.04
9305908,HILDE A,Container ship,102.82,320.87
9306005,ARNARFELL,Container ship,78.94,250.49
9306017,HELGAFELL,Container ship,99.81,316.7
9306029,SANDNES,Bulk carrier,98.32,307.06
9306067,CALISTO,Container ship,78.55,247.89
9306079,ADELINA D,Container ship,68.54,217.03
9306158,PUCON,Container ship,261.7,817.82
9306196,PALENA,Container ship,220.25,686.88
9306201,ANNABA,Container ship,71.35,222.25
9306213,INDEPENDENT CONCEPT,Container ship,86.72,272
9306225,AVA D,Container ship,85.62,269.37
9306237,INDEPENDENT ACCORD,Container ship,178.47,557.14
9306299,ADNAN N,General cargo ship,38.22,120.11
9306304,M/V MANISA SOLE,General cargo ship,44.47,140.6
9306328,IBRAHIM KONAN,General cargo ship,41.31,129.7
9306380,JOSEPHINE PRIMA,General cargo ship,48.97,153.9
9306392,SIDER ULRIKEN,General cargo ship,49.59,155.76
9306407,WOLF,General cargo ship,45.65,142.97
9306419,NORMA,General cargo ship,45.44,142.39
9306421,ADALADY,General cargo ship,41.25,129.46
9306433,SPANACO PROGRESS,General cargo ship,61.87,194.81
9306445,ADASUN,General cargo ship,36.82,115.39
9306471,STRAUSS,Container ship,12.65,39.92
9306483,ROSSINI,Container ship,124.1,386.65
9306495,PROVALYS,LNG carrier,392.46,1107.19
9306548,BW TRADER,Gas carrier,111.49,347.96
9306550,MAERSK SEOUL,Container ship,328.23,1022.11
9306562,DHONOUSSA,Oil tanker,161.9,507.26
9306574,POLYAIGOS,Oil tanker,125.79,394.75
9306627,KUDOS,Oil tanker,183.07,572.78
9306639,MAERSK PETREL,Oil tanker,140.43,438.96
9306653,SLOMAN THETIS,Oil tanker,124.6,389.63
9306677,SLOMAN THEMIS,Oil tanker,111.53,349.21
9306706,NEPTUNE OKEANIS,Ro-ro ship,95.13,296.67
9306718,NEPTUNE THELISIS,Ro-ro ship,86.75,270.38
9306782,NS CENTURY,Oil tanker,136.5,428.04
9306794,NS COMMANDER,Oil tanker,120.12,375.54
9306823,VEGA VELA,Container ship,88.27,275.79
9306835,MAGNUS F,Other ship types,106.93,336.47
9306938,ROY MAERSK,Oil tanker,96.63,303.75
9306940,MAERSK RALEIGH,Oil tanker,76.45,238.98
9307059,MOL PARAMOUNT,Container ship,317.07,990.75
9307102,LR1 CARRIER,Oil tanker,120.31,376.86
9307176,AL DEEBEL,LNG carrier,442.02,1306.77
9307188,METHANE RITA ANDREA,LNG carrier,336.46,935.23
9307190,METHANE JANE ELIZABETH,LNG carrier,361.09,995.35
9307231,XIN SHANGHAI,Container ship,212.43,662.92
9307243,LE HAVRE,Container ship,291.55,908.77
9307334,TAVROPOS,Oil tanker,137.66,430.65
9307358,TIMCA,General cargo ship,188.04,586.05
9307360,KRAFTCA,Other ship types,179.76,560.06
9307372,GENCA,Other ship types,146.07,455.16
9307384,TRICA,Other ship types,179.42,559.01
9307578,SPAR SCORPIO,Bulk carrier,90.61,283.94
9307580,SPAR GEMINI,Bulk carrier,88.3,276.13
9307657,CLYMENE,Bulk carrier,105.68,329.75
9307671,STEN BALTIC,Oil tanker,67.71,217.08
9307736,BW CONFIDENCE,Gas carrier,159.68,499.5
9307798,TORM VENTURE,Oil tanker,126.75,395.88
9307815,ATLANTICA BRIDGE,Chemical tanker,91.52,288.45
9307827,MINERVA VIRGO,Oil tanker,106.31,333.99
9307944,HERMIONE,Oil tanker,121.7,386
9308065,STORVIKEN,Oil tanker,185,577.28
9308118,PRIONAS,Bulk carrier,108.1,338.17
9308182,TURKON EGYPT,Container ship,107.77,336.61
9308194,EMMA A,Container ship,106.82,333.89
9308223,HELEN M,Oil tanker,18.49,57.58
9308235,CELSIUS MACAU,Chemical tanker,83.75,263.85
9308429,HAYDN,Container ship,103.6,323.05
9308431,UMM BAB,LNG carrier,335.04,967.32
9308546,EVINCO,Chemical tanker,82.86,261.11
9308558,EXCELLO,Chemical tanker,87.84,274.22
9308584,MSC NINA F,Container ship,107.82,336.95
9308596,VEGA OMIKRON,Container ship,47.68,152.41
9308601,MSC TALIA F,Container ship,118.54,370.53
9308613,CONTSHIP FUN,Container ship,162.58,507.82
9308625,MSC LUNA F,Container ship,118.62,370.97
9308704,COS ORCHID,Bulk carrier,105.69,329.29
9308792,LAKE KIVU,Ro-ro ship,205.19,643.5
9308821,ZUMA,Oil tanker,155.14,486.66
9308833,LOVINA,Oil tanker,92.05,288.1
9308857,CARMEL,Oil tanker,158.11,498.22
9308869,COHIBA,Bulk carrier,185.74,579.26
9308883,CEPHEUS LEADER,Vehicle carrier,101.86,318.83
9308895,DORADO LEADER,Vehicle carrier,106.01,331.94
9308900,PACIFIC,Chemical tanker,61.78,198.05
9308948,MAERSK PRINCESS,Oil tanker,142.2,445.54
9308950,MAERSK PRODUCER,Oil tanker,157.71,495.71
9308998,ARCHANGELOS GABRIEL,Oil tanker,161.89,509.48
9309007,DESPINA,Oil tanker,135.69,425.35
9309148,GUYENNE,Chemical tanker,89.35,278.62
9309227,BIT OKLAND,Oil tanker,95.81,306.73
9309239,BIT VIKING,Oil tanker,109.17,308.45
9309253,ASOPOS,Oil tanker,129.68,405.97
9309277,MONA LISA,Container ship,237.29,739.5
9309382,ESTHER,Oil tanker,88.7,278.72
9309409,AS CARELIA,Container ship,154.33,485.06
9309411,HARMONY N,Container ship,174.69,547.29
9309423,MINERVA NOUNOU,Oil tanker,220.03,690.55
9309435,MINERVA ALICE,Oil tanker,161.96,508.69
9309459,MSC SILVANA,Container ship,289.33,902.61
9309461,MSC TOMOKO,Container ship,290.2,905.83
9309473,MSC HEIDI,Container ship,269.65,841.34
9309485,CYMONA STAR,Bulk carrier,106.88,334.53
9309514,LOMBARDIA,General cargo ship,95.66,298.24
9309526,CATALONIA,General cargo ship,105.94,331.99
9309588,NS STELLA,Chemical tanker,118.52,370.41
9309629,CELSIUS MONACO,Chemical tanker,81.16,255.21
9309980,NORD BELL,Chemical tanker,121.54,380.86
9310109,LIBERTY (Vehicle carrier),Vehicle carrier,119.33,374.42
9310135,CAPE TRUST,Bulk carrier,175.28,548.68
9310161,ARDMORE SEAFARER,Oil tanker,95.64,300.5
9310202,NURI SONAY,General cargo ship,59.65,186.86
9310290,BULK JAPAN,Bulk carrier,108.05,339.6
9310355,OLYMPUS,Chemical tanker,49.67,159.23
9310408,DESPINA D,Bulk carrier,89.23,280.01
9310410,HEINA,Bulk carrier,121.65,380.23
9310513,STAR JAVA,General cargo ship,102.35,320.25
9310604,DS SOFIE BULKER,Bulk carrier,69.28,216.62
9310628,SUMMIT SUCCESS,Bulk carrier,180,563.45
9310707,CHALLENGE PASSAGE,Oil tanker,88.98,277.98
9310745,AC KATHRYN,Bulk carrier,76.07,239.1
9310757,POLARSTAR,Bulk carrier,88.84,279.11
9310812,HIGH GLOW,Oil tanker,84.91,266.76
9310848,MARITINA,Oil tanker,101.22,315.49
9310850,ETERNAL DILIGENCE,Oil tanker,204.01,635.36
9311024,STOLT STRENGTH,Chemical tanker,89.47,280.01
9311036,FREJA HAFNIA,Oil tanker,92.59,291.33
9311050,S-BRONCO,Bulk carrier,79.86,250.82
9311165,NIKOLAS XL,Bulk carrier,124.16,388.4
9311189,SANTA ROSALIA,Bulk carrier,96.43,302.54
9311206,RED LOTUS,Bulk carrier,118.57,371.46
9311256,FAIRCHEM STEED,Chemical tanker,68.09,212.44
9311402,PORT ALICE,Bulk carrier,119.7,373.77
9311476,CAPE BALTIC,Bulk carrier,167.86,523.07
9311490,SIDER TIS,Bulk carrier,81.34,253.46
9311529,SSI NEMESIS,Bulk carrier,107.29,335.82
9311567,LNG KANO,LNG carrier,256.67,716.52
9311579,LNG ONDO,LNG carrier,254.04,717.9
9311581,LNG IMO,LNG carrier,253.35,725.91
9311593,JEAN LD,Bulk carrier,144.21,450.85
9311610,MILTIADIS M II,Oil tanker,221.28,694.75
9311622,VLADIMIR TIKHONOV,Oil tanker,212.64,665.86
9311646,LUTSEN,Chemical tanker,66.81,208.54
9311713,SAPSAN,Oil tanker,109.81,346.26
9311725,FSL SINGAPORE,Oil tanker,119.93,375.7
9311751,MAERSK ARCTIC,Oil tanker,104.07,328.88
9311799,AS CHRISTIANA,Container ship,126.39,393.57
9311830,HSL PARATY,Container ship,113.37,353.56
9311842,BSL PIRAEUS,Container ship,118.85,370.37
9311854,TALIA,Vehicle carrier,104.42,327.11
9311866,TAIPAN,Vehicle carrier,138.36,433.9
9311880,LETO (Container ship),Container ship,136.25,425.25
9311892,PALMALI DISCOVERY,General cargo ship,75.52,236.93
9312078,PATRICIA,Chemical tanker,89.87,283.11
9312080,PATAGONIA,Chemical tanker,88.66,279.53
9312092,GRANDE SICILIA,Ro-ro ship,89.25,278.88
9312133,EXPLORER (Oil tanker),Oil tanker,137.03,427.59
9312145,SOUNION,Oil tanker,173.73,543.81
9312157,BBC ONTARIO,General cargo ship,68.83,216.59
9312169,HOLANDIA (General cargo ship),General cargo ship,56.34,176.53
9312195,ENDEAVOR,Container ship,79.19,246.84
9312200,ENDURANCE (Container ship),Container ship,89.34,282.84
9312212,ENSEMBLE (Container ship),Container ship,76.88,244.24
9312315,THETIS (Bulk carrier),Bulk carrier,69.28,216.46
9312327,COURAGEOUS (Bulk carrier),Bulk carrier,79.84,250.11
9312339,CAPE FLATTERY,Bulk carrier,76.13,238.02
9312341,AMALIYA,Bulk carrier,59.66,186
9312406,TEAM SAPPHIRE,Chemical tanker,55.86,176.23
9312444,STENA PRESIDENT,Oil tanker,127.37,399.96
9312456,STENA PERROS,Oil tanker,149.73,469.39
9312470,HOEGH DETROIT,Vehicle carrier,134.74,421.38
9312482,HOEGH SHANGHAI,Vehicle carrier,143.02,447.71
9312511,NEPTUN,Oil tanker,292.59,914.86
9312781,NYK VEGA,Container ship,277.82,865.25
9312793,NYK VENUS,Container ship,292.52,911.1
9312808,NYK VESTA,Container ship,303.32,944.69
9312810,NYK VIRGO,Container ship,285.57,890.86
9312834,MORNING CHORUS,Vehicle carrier,115.36,360.71
9312860,LIMERICK SPIRIT,Oil tanker,166.96,525.84
9312884,NS COLUMBUS,Oil tanker,154.45,485.9
9312896,NS CREATION,Oil tanker,138.69,440.63
9312901,SIKINOS,Chemical tanker,118.36,372.22
9312913,ATLANTAS II,Chemical tanker,106.32,333.74
9312975,NYK OCEANUS,Container ship,269.82,840.34
9312987,NYK OLYMPUS,Container ship,284.04,886.6
9312999,NYK ORION,Container ship,267.87,836.93
9313008,NYK ORPHEUS,Container ship,261.17,814.04
9313022,STAR OMICRON,Bulk carrier,99.84,311.82
9313058,IOLCOS UNITY,Bulk carrier,104.17,325.56
9313096,BRO DELIVERER,Oil tanker,108.8,343.33
9313101,BRO DESIGNER,Oil tanker,117.25,370.12
9313113,BRO DISTRIBUTOR,Oil tanker,116.54,367.58
9313125,BRO DEVELOPER,Oil tanker,115.48,364.18
9313149,TAMAGAWA,Oil tanker,249.73,780.87
9313199,BALTIC TERN,Container ship,103.36,326.64
9313204,BALTIC FULMAR,Container ship,121.24,383.03
9313216,BALTIC PETREL,Container ship,98.66,312.01
9313228,BALTIC SHEAREWATER,Container ship,98.71,311.69
9313307,COVENTRY,Bulk carrier,104.8,328.06
9313395,KEEPER,Bulk carrier,191.69,598.24
9313400,NEW ELIAS,Bulk carrier,183.85,577.69
9313424,ANWAAR AL KHALIJ,Oil tanker,116.48,363.61
9313436,PEONIA,Chemical tanker,132.78,416.52
9313450,ANWAAR AL NASER,Oil tanker,130.08,407.85
9313486,EXPLORER SPIRIT,Oil tanker,139.76,435.48
9313503,FASSA,Bulk carrier,87.74,274.51
9313527,GIJON KNUTSEN,Oil tanker,190.25,609.94
9313761,ARSOS M,Oil tanker,133.69,418.71
9313905,SEAGO ANTWERP,Container ship,206.24,644.03
9313917,SEAGO FELIXSTOWE,Container ship,197.37,616.31
9313943,SEAGO ISTANBUL,Container ship,187.41,585.33
9313955,SEAGO PIRAEUS,Container ship,180.96,565.09
9313967,SEAGO BREMERHAVEN,Container ship,193.42,604.24
9314064,MINERAL KYOTO,Bulk carrier,161.39,503.79
9314090,MINERAL ENERGY,Bulk carrier,125.37,391.58
9314167,LA BOHEME,Oil tanker,137.52,431.83
9314179,LORELEI,Oil tanker,133.29,420.26
9314181,BROOK TROUT,Oil tanker,56.87,177.68
9314208,HYDE,Chemical tanker,91.6,287.06
9314222,XIN HONG KONG,Container ship,289.41,907.09
9314442,CHELSEA-2,General cargo ship,28.39,91.01
9314624,G. B. CORRADO,Bulk carrier,86.52,270.31
9314715,TRANS CHEMICA,Chemical tanker,52.66,165.95
9314753,TRANS EXETER,Chemical tanker,52.61,165.72
9314777,AMALIE ESSBERGER,Chemical tanker,49.06,154.72
9314818,BALTIC MONARCH,Chemical tanker,114.6,359.44
9314820,BALTIC MARINER I,Chemical tanker,93.93,298.97
9314844,SAN CARLOS,Oil tanker,86.6,272.16
9314856,KANDAVA,Chemical tanker,89.79,286.27
9314868,KAZDANGA,Chemical tanker,85.05,269.04
9314870,KRISJANIS VALDEMARS,Chemical tanker,102.13,320.64
9314882,AMPHITRITE (Oil tanker),Oil tanker,160.85,503.57
9314894,ARION,Oil tanker,124.44,389.09
9314909,PYXIS DELTA,Chemical tanker,105.13,329.4
9314935,AS CAROLINA,Container ship,142.12,443
9314947,CMA CGM POINTE DES COLIBRIS,Container ship,183.84,574.56
9315006,ELAN,Container ship,87.2,275.13
9315018,ELITE,Container ship,94,296.73
9315020,AKACIA,Container ship,80.8,252.45
9315032,X-PRESS SHANNON,Container ship,80.07,250.26
9315056,MAERSK MARMARA,Oil tanker,101.96,318.29
9315159,DHT EUROPE,Oil tanker,210.41,657.21
9315185,ANTARCTIC,Oil tanker,167.55,525.24
9315197,MAERSK SELETAR,Container ship,252.54,789.41
9315202,MAERSK SENTOSA,Container ship,259.3,810.54
9315214,MAERSK SERANGOON,Container ship,220.7,687.61
9315226,MAERSK SEMBAWANG,Container ship,225.79,703.82
9315238,MAERSK SEBAROK,Container ship,224.15,698.32
9315240,MAERSK SENANG,Container ship,238.17,742.29
9315379,ARCHIMIDIS,Container ship,291.26,912.18
9315393,STENA BLUE SKY,LNG carrier,504.82,1422.55
9315446,MAERSK PEARL,Oil tanker,154.25,485.46
9315458,MAERSK PROMISE,Oil tanker,164.27,515.97
9315537,OCEAN CASTLE,Bulk carrier,74.67,233.57
9315549,LAKE ST. CLAIR,Bulk carrier,92.61,292.17
9315654,SONANGOL KASSANJE,Oil tanker,165.12,516.83
9315757,ARIONAS,Chemical tanker,93.25,292.22
9315769,AIOLOS,Chemical tanker,88.14,278.82
9315771,SEAVALOUR,Oil tanker,101.86,318.73
9315783,SEAVICTORY,Chemical tanker,85.73,268.73
9315795,ANDROMEDA,Oil tanker,108.2,338.76
9315800,AEGEAS,Oil tanker,124.89,397.14
9315812,AS CYPRIA,Container ship,126,392.37
9315824,ODYSSEUS,Container ship,146.27,456.43
9315850,IRENES REMEDY,Container ship,152.75,481.85
9315898,BYZANTION,Oil tanker,94.93,297.22
9315903,BOSPOROS,Oil tanker,92.82,290.46
9315927,SASKIA A,Container ship,122.24,381.91
9315941,AXIOS,Chemical tanker,110.96,346.83
9316062,BETTYS BEAUTY,Bulk carrier,117.84,369.63
9316127,ALEKSEY KOSYGIN,Oil tanker,202.94,634.2
9316139,PATRIOT,Vehicle carrier,114.66,359.63
9316141,OTELLO,Vehicle carrier,117.21,367.47
9316153,GENCO WARRIOR,Bulk carrier,101.4,317.3
9316189,JOSCO YANGZHOU,Bulk carrier,114.22,357.3
9316191,MOONDANCE II,Bulk carrier,100.66,313.64
9316220,GENCO PROVENCE,Bulk carrier,109.78,343.56
9316244,RADIANT SEA,Oil tanker,135.5,426.27
9316282,ELBE HIGHWAY,Ro-ro ship,85.22,265.7
9316294,THAMES HIGHWAY,Ro-ro ship,88.35,275.41
9316309,DANUBE HIGHWAY,Ro-ro ship,93.13,290.45
9316311,SEINE HIGHWAY,Ro-ro ship,95.69,298.27
9316347,MSC HANNAH,Container ship,154.93,483.9
9316361,MSC CELINE,Container ship,156.96,490.54
9316579,PANTANAL,General cargo ship,74.83,234.58
9316593,KRONBORG,Oil tanker,89.23,279.46
9316608,MAERSK ERIK,Oil tanker,85.6,267.01
9316610,BIXBITE,Chemical tanker,132.88,415.79
9316804,SWEET LADY III,Bulk carrier,103.92,325.13
9316880,KAVO PALOMA,Bulk carrier,110.68,344.9
9316983,SUPER CAROLINE,Bulk carrier,82.44,256.82
9316995,STELLAR PACIFIC,Bulk carrier,49.36,154.37
9317004,PANSOLAR,Bulk carrier,81.89,256.85
9317092,BULK FREEDOM,Bulk carrier,111.41,348.3
9317107,OCEAN CROWN,Bulk carrier,91.09,285.21
9317341,THOR FEARLESS,Bulk carrier,86.35,269.37
9317418,SAGA DISCOVERY,General cargo ship,80.93,253.2
9317456,AGRI KINSALE,Bulk carrier,89.63,280.09
9317468,AGRI QUEEN,Bulk carrier,99.74,311.5
9317470,PRISCILLA VENTURE,Bulk carrier,85.06,265.57
9317559,LOWLANDS OPAL,Bulk carrier,111.77,348.77
9317690,AEC ABILITY II,General cargo ship,74.52,233.91
9317705,CALM BAY,General cargo ship,82.89,260.22
9317755,LORD WELLINGTON,Bulk carrier,80.97,253.95
9317767,AFRICAN ROBIN,General cargo ship,70.97,221.56
9317779,DOBROTA,Bulk carrier,70.99,222.19
9317808,TIP BREMEN,General cargo ship,47.38,148.15
9317822,PENELOPE (Bulk carrier),Bulk carrier,142.52,443.89
9317834,XENIA (Bulk carrier),Bulk carrier,87.78,273.91
9317858,CHEMBULK WESTPORT,Chemical tanker,133.6,418.26
9317860,BOW ENGINEER,Chemical tanker,105.54,330.9
9317925,HERMA P,Container ship,176.74,551
9317949,SEAMAGIC,Oil tanker,166.96,525.12
9317951,MINERVA LIBRA,Oil tanker,186.47,584.13
9317963,CMA CGM BLUE WHALE,Container ship,225.1,702.2
9317975,CMA CGM WHITE SHARK,Container ship,222.02,694.07
9318008,MINERVA VASO,Oil tanker,99.54,311.41
9318010,MINERVA XANTHE,Oil tanker,117.42,367.03
9318022,NORTHERN LIGHT (Chemical tanker),Chemical tanker,109,342.37
9318034,ARCTIC BAY,Chemical tanker,128,401.31
9318046,E.R. TOKYO,Container ship,275.62,859.83
9318084,LIBYA,Oil tanker,225.96,703.71
9318096,SEAVOYAGER,Oil tanker,142.39,444.93
9318101,LLOYD DON PASCUALE,Container ship,222.14,693.07
9318137,EVRIDIKI,Oil tanker,165.13,515.6
9318149,ORPHEAS,Oil tanker,148.74,464.92
9318228,SCORPIUS,Chemical tanker,58.48,187.48
9318266,ASIATIC KING,Container ship,97.05,302.43
9318321,ANTWERPEN,Gas carrier,117.12,372.06
9318333,TORM THAMES,Oil tanker,89.76,282.4
9318345,DOVER SEAWAYS,Ro-pax ship,197.77,617.04
9318369,THE LIVING,Bulk carrier,105.29,329.33
9318462,VIKING QUEEN,Vehicle carrier,102.5,321.98
9318474,HOEGH BANGKOK,Vehicle carrier,98.9,311
9318486,CORAL LEADER,Vehicle carrier,96.3,301.92
9318498,OPAL LEADER,Vehicle carrier,87.81,273.81
9318527,GRANDE COLONIA,Ro-ro ship,88.87,278.58
9318539,DONAT,Oil tanker,174.01,543.21
9318541,NS STREAM,Chemical tanker,107.68,341.02
9318565,STEN AURORA,Oil tanker,64.32,205.94
9318591,ARETHUSA,Bulk carrier,218.6,684.43
9318761,ADILIA I,Container ship,89.57,282.19
9318931,RITA,Container ship,61.55,195.62
9318943,THUNDER BIRD,General cargo ship,56.44,176.08
9318955,GRINNA,General cargo ship,38.49,123.39
9319064,KALLIO,General cargo ship,68.28,215.15
9319143,YM INCREMENT,Container ship,100.77,316.49
9319404,TRINITY ARROW,LNG carrier,341.45,942.45
9319442,FINNSTAR,Ro-pax ship,229.09,714.96
9319454,EUROPALINK,Ro-pax ship,206.95,650.75
9319466,FINNMAID,Ro-pax ship,234.05,730.42
9319480,BOW ARCHITECT,Chemical tanker,95.38,298.87
9319545,STROFADES,Oil tanker,131.11,410.42
9319595,VEGA HERCULES,Container ship,85.24,266.61
9319600,MSC AMANDA F,Container ship,119.71,373.62
9319674,MAERSK PENGUIN,Oil tanker,142.59,446
9319686,MAERSK PELICAN,Oil tanker,118.88,371.7
9319698,TORM MARINA,Oil tanker,146.18,456.86
9319703,MAERSK PIPER,Oil tanker,184.01,576.06
9319765,TORTUGAS,Vehicle carrier,107.89,337.54
9319868,JSP CARLA,Container ship,62.62,197.86
9319870,NORDBAY,Oil tanker,207.1,651.54
9320001,SEASPAN LOGA,Container ship,127.3,397.86
9320013,SEASPAN HANNOVER,Container ship,135.58,422.21
9320049,STADT DRESDEN,Container ship,138.66,432.56
9320063,ASTINA,Oil tanker,53.11,167.93
9320075,GASELYS,LNG carrier,294.23,825.39
9320087,MSC MUSICA,Passenger ship,378.33,1193.9
9320099,MSC ORCHESTRA,Passenger ship,383.64,1215.95
9320128,COTE D'ALBATRE,Ro-pax ship,123.7,387.19
9320130,SEVEN SISTERS,Ro-pax ship,120.73,377.2
9320233,GJERTRUD MAERSK,Container ship,286.58,893.09
9320245,GERD MAERSK,Container ship,295.77,921.93
9320257,GEORG MAERSK,Container ship,278.38,868.45
9320269,MAGNATE,Bulk carrier,63.99,199.37
9320295,ARMONIA (Bulk carrier),Bulk carrier,77.14,240.88
9320300,CLIPPER TARGET,Bulk carrier,67.01,209.69
9320312,CLIPPER TRUST,Bulk carrier,69.87,219.26
9320336,ATHOS (Bulk carrier),Bulk carrier,71.48,224.53
9320374,GOLAR MARIA,LNG carrier,747.6,2071.11
9320386,SIMAISMA,LNG carrier,311.74,890.99
9320398,MSC LAUSANNE,Container ship,244.87,767.5
9320403,MSC LORENA,Container ship,195.15,609.17
9320427,MSC GENEVA,Container ship,229.5,716.91
9320441,MSC CAROUGE,Container ship,246.2,769.74
9320506,MORGENSTOND I,General cargo ship,61.09,191.72
9320518,FWN SPLENDIDE,General cargo ship,55.91,175.58
9320520,FWN RAPIDE,General cargo ship,51.32,161.98
9320556,QUEEN VICTORIA,Passenger ship,436.13,1364.43
9320568,FICARIA SEAWAYS,Ro-ro ship,160.88,502.2
9320702,TSINGTAO EXPRESS,Container ship,231.33,727.28
9320714,RIDGEBURY CAPTAIN DROGIN,Oil tanker,189.81,593.98
9320738,BW CEDAR,Gas carrier,126.05,394.9
9320855,RHOURD EL ADRA,Gas carrier,87.21,273.29
9321005,DESERT RHAPSODY,Bulk carrier,110.49,347.69
9321093,FWN SOLIDE,General cargo ship,49.95,156.63
9321108,FWN BONAFIDE,General cargo ship,60.7,190.97
9321158,SUCCESSOR,Bulk carrier,182.33,568.2
9321172,BREEZY VICTORIA,Oil tanker,116.13,364.65
9321201,GRACE VICTORIA,Oil tanker,119.65,374.51
9321249,MOL CHARISMA,Container ship,239.8,748.59
9321419,GINOSTRA M,Oil tanker,107.58,338.01
9321433,MARY A,Chemical tanker,84.68,270.89
9321445,BICE AMORETTI,Chemical tanker,58.32,183.51
9321471,YANKI A,Container ship,134.86,420.97
9321483,EMMA MAERSK,Container ship,353.3,1101.45
9321495,ESTELLE MAERSK,Container ship,305.61,954.24
9321500,ELEONORA MAERSK,Container ship,350.42,1095.22
9321512,EVELYN MAERSK,Container ship,349.93,1091.97
9321524,EBBA MAERSK,Container ship,330.59,1032.82
9321536,ELLY MAERSK,Container ship,295.72,922.64
9321548,EDITH MAERSK,Container ship,341,1064.54
9321550,EUGEN MAERSK,Container ship,334.33,1043.01
9321562,GOLDEN SHINER,Oil tanker,120.77,379.41
9321615,TELLUS,Chemical tanker,50.11,160.67
9321665,SERI ANGKASA,LNG carrier,333.53,923.73
9321677,KRONVIKEN,Oil tanker,182.4,579.31
9321689,SOLVIKEN,Oil tanker,155.25,491.08
9321691,CAP GUILLAUME,Oil tanker,161.24,508.25
9321720,CAP VICTOR,Oil tanker,179.2,563.12
9321732,MILAHA QATAR,LNG carrier,334.79,964.57
9321744,METHANE HEATHER SALLY,LNG carrier,373.11,1034.03
9321756,METHANE SHIRLEY ELISABETH,LNG carrier,349.79,970.74
9321768,METHANE ALISON VICTORIA,LNG carrier,358.91,990.01
9321770,METHANE NILE EAGLE,LNG carrier,331.15,913.78
9321847,ARIES SUN,Oil tanker,154.8,483.76
9321861,GINGA COUGAR,Chemical tanker,99.07,312.09
9321902,NORDSUMMER,Container ship,132.34,412.23
9321938,STAR EAGLE,Oil tanker,101.74,319.57
9321940,STAR KESTREL,Chemical tanker,87.26,274.11
9321976,MITERA MARIGO,Oil tanker,144.14,451.33
9322011,VORONEZH,Container ship,81.16,255.85
9322061,SICHEM SINGAPORE,Chemical tanker,65.88,205.7
9322097,SICHEM MANILA,Chemical tanker,92.13,289.77
9322152,TRIPLE A,Chemical tanker,87.97,279.12
9322267,ELLINIS,Oil tanker,222.74,695.57
9322279,DALMA,Oil tanker,237.37,741.19
9322396,PIGEON POINT,Chemical tanker,109.63,343.61
9322425,UN PENDIK,Ro-ro ship,116.62,363.25
9322437,UN TRIESTE,Ro-ro ship,118.31,368.52
9322516,NORO,Container ship,211.21,659.56
9322542,RANGER,Container ship,83.04,260.33
9322554,SOLONG,Container ship,70.4,221.98
9322566,JSP RIDER,Container ship,71.14,224.87
9322578,DREAM,Container ship,72.22,228
9322657,YUYO,Gas carrier,98.56,306.97
9322695,BRO NYBORG,Oil tanker,87.84,274.34
9322700,BRO NIBE,Oil tanker,77.38,242.61
